Dataset,Noise,Seed,CART_acc,CART_time,EMDT_acc,EMDT_time,EMDT_status
XOR,0.1,68,0.875,0.0007188320159912109,0.725,15.26170015335083,FEASIBLE
XOR,0.1,69,0.425,0.0018494129180908203,0.7,15.276045083999634,FEASIBLE
XOR,0.1,70,0.525,0.0014748573303222656,0.625,15.274351835250854,FEASIBLE
XOR,0.1,71,0.4,0.0007004737854003906,0.575,15.266595840454102,FEASIBLE
XOR,0.25,42,0.475,0.0008211135864257812,0.675,15.263705492019653,FEASIBLE
XOR,0.25,43,0.6,0.0017635822296142578,0.475,15.355090141296387,FEASIBLE
XOR,0.25,44,0.65,0.0018494129180908203,0.6,15.28358769416809,FEASIBLE
XOR,0.25,45,0.45,0.0010285377502441406,0.475,15.285550832748413,FEASIBLE
XOR,0.25,46,0.475,0.001399993896484375,0.475,15.36011815071106,FEASIBLE
XOR,0.25,47,0.55,0.0021011829376220703,0.55,15.270451068878174,FEASIBLE
XOR,0.25,48,0.525,0.0007541179656982422,0.4,15.336737155914307,FEASIBLE
XOR,0.25,49,0.7,0.0009918212890625,0.55,15.291090250015259,FEASIBLE
XOR,0.25,50,0.575,0.001825094223022461,0.575,15.343092918395996,FEASIBLE
XOR,0.25,51,0.6,0.0008513927459716797,0.575,15.284354209899902,FEASIBLE
XOR,0.25,52,0.5,0.0016841888427734375,0.625,15.316129684448242,FEASIBLE
XOR,0.25,53,0.525,0.0017902851104736328,0.575,15.460131883621216,FEASIBLE
XOR,0.25,54,0.525,0.0011234283447265625,0.55,15.426465034484863,FEASIBLE
XOR,0.25,55,0.7,0.0011649131774902344,0.5,15.39107608795166,FEASIBLE
XOR,0.25,56,0.85,0.0010828971862792969,0.6,15.405312061309814,FEASIBLE
XOR,0.25,57,0.7,0.0009570121765136719,0.5,15.30266523361206,FEASIBLE
XOR,0.25,58,0.55,0.018271923065185547,0.55,15.962476015090942,FEASIBLE
XOR,0.25,59,0.575,0.0016667842864990234,0.675,15.457645416259766,FEASIBLE
XOR,0.25,60,0.6,0.0006861686706542969,0.525,15.424477577209473,FEASIBLE
XOR,0.25,61,0.65,0.002034425735473633,0.55,15.34714674949646,FEASIBLE
XOR,0.25,62,0.475,0.00130462646484375,0.5,15.412729740142822,FEASIBLE
XOR,0.25,63,0.6,0.0015604496002197266,0.6,15.366665124893188,FEASIBLE
XOR,0.25,64,0.6,0.0009241104125976562,0.525,15.403702735900879,FEASIBLE
XOR,0.25,65,0.45,0.0008938312530517578,0.45,15.346407890319824,FEASIBLE
XOR,0.25,66,0.65,0.0010135173797607422,0.6,15.32737398147583,FEASIBLE
XOR,0.25,67,0.575,0.00247955322265625,0.6,15.375314950942993,FEASIBLE
XOR,0.25,68,0.7,0.0007615089416503906,0.675,15.383870601654053,FEASIBLE
XOR,0.25,69,0.425,0.001024007797241211,0.65,15.302969932556152,FEASIBLE
XOR,0.25,70,0.45,0.0018432140350341797,0.575,15.30730938911438,FEASIBLE
XOR,0.25,71,0.675,0.0007734298706054688,0.55,15.338545083999634,FEASIBLE
Polynomial,0.1,42,0.725,0.0010554790496826172,0.675,11.983618259429932,OPTIMAL
Polynomial,0.1,43,0.625,0.0014586448669433594,0.55,15.38608694076538,FEASIBLE
Polynomial,0.1,44,0.575,0.0028715133666992188,0.6,15.314422607421875,FEASIBLE
Polynomial,0.1,45,0.625,0.0010585784912109375,0.575,15.356015920639038,FEASIBLE
Polynomial,0.1,46,0.5,0.001966714859008789,0.575,15.271294593811035,FEASIBLE
Polynomial,0.1,47,0.7,0.0009410381317138672,0.7,13.05401062965393,OPTIMAL
Polynomial,0.1,48,0.65,0.0017914772033691406,0.625,15.302069425582886,FEASIBLE
Polynomial,0.1,49,0.575,0.0010044574737548828,0.575,15.277679681777954,FEASIBLE
Polynomial,0.1,50,0.6,0.0009515285491943359,0.475,15.345020055770874,FEASIBLE
Polynomial,0.1,51,0.525,0.0009872913360595703,0.575,15.387343645095825,FEASIBLE
Polynomial,0.1,52,0.55,0.003596067428588867,0.65,12.973069190979004,OPTIMAL
Polynomial,0.1,53,0.65,0.0031991004943847656,0.6,15.422410488128662,FEASIBLE
Polynomial,0.1,54,0.7,0.001173257827758789,0.7,15.299681425094604,FEASIBLE
Polynomial,0.1,55,0.575,0.0018956661224365234,0.575,15.324324369430542,FEASIBLE
Polynomial,0.1,56,0.65,0.0009248256683349609,0.65,7.256209373474121,OPTIMAL
Polynomial,0.1,57,0.65,0.0018880367279052734,0.7,13.488425016403198,OPTIMAL
Polynomial,0.1,58,0.675,0.0007357597351074219,0.675,13.840049743652344,OPTIMAL
Polynomial,0.1,59,0.475,0.0011868476867675781,0.525,15.341854572296143,FEASIBLE
Polynomial,0.1,60,0.475,0.0013420581817626953,0.625,15.380075454711914,FEASIBLE
Polynomial,0.1,61,0.675,0.0016222000122070312,0.65,7.728560447692871,OPTIMAL
Polynomial,0.1,62,0.65,0.001210927963256836,0.775,15.367148160934448,FEASIBLE
Polynomial,0.1,63,0.75,0.0007722377777099609,0.675,6.807413339614868,OPTIMAL
Polynomial,0.1,64,0.8,0.0019409656524658203,0.825,15.402656555175781,FEASIBLE
Polynomial,0.1,65,0.6,0.004003763198852539,0.6,15.384809494018555,FEASIBLE
Polynomial,0.1,66,0.55,0.003351449966430664,0.575,15.3238525390625,FEASIBLE
Polynomial,0.1,67,0.625,0.0006899833679199219,0.625,15.305631637573242,FEASIBLE
Polynomial,0.1,68,0.55,0.0017690658569335938,0.625,15.32080602645874,FEASIBLE
Polynomial,0.1,69,0.475,0.0022084712982177734,0.6,13.131086587905884,OPTIMAL
Polynomial,0.1,70,0.475,0.0019731521606445312,0.7,15.285548448562622,FEASIBLE
Polynomial,0.1,71,0.55,0.0019021034240722656,0.675,15.33495569229126,FEASIBLE
Polynomial,0.25,42,0.55,0.0010805130004882812,0.6,15.334474563598633,FEASIBLE
Polynomial,0.25,43,0.65,0.0013074874877929688,0.525,15.278159618377686,FEASIBLE
Polynomial,0.25,44,0.625,0.0018734931945800781,0.45,15.403050661087036,FEASIBLE
Polynomial,0.25,45,0.55,0.001018524169921875,0.65,15.264105796813965,FEASIBLE
Polynomial,0.25,46,0.45,0.0011301040649414062,0.55,15.45026707649231,FEASIBLE
Polynomial,0.25,47,0.675,0.0012066364288330078,0.6,15.273300409317017,FEASIBLE
Polynomial,0.25,48,0.525,0.002940654754638672,0.55,15.277115106582642,FEASIBLE
Polynomial,0.25,49,0.575,0.0012557506561279297,0.675,15.288233757019043,FEASIBLE
Polynomial,0.25,50,0.55,0.0008988380432128906,0.65,15.363335371017456,FEASIBLE
Polynomial,0.25,51,0.575,0.0011382102966308594,0.55,15.34036922454834,FEASIBLE
Polynomial,0.25,52,0.525,0.0010378360748291016,0.525,15.298131227493286,FEASIBLE
Polynomial,0.25,53,0.425,0.0013768672943115234,0.55,15.270862817764282,FEASIBLE
Polynomial,0.25,54,0.625,0.0013463497161865234,0.6,15.271032094955444,FEASIBLE
Polynomial,0.25,55,0.525,0.0014853477478027344,0.625,15.342158555984497,FEASIBLE
Polynomial,0.25,56,0.625,0.004137277603149414,0.6,15.434524774551392,FEASIBLE
Polynomial,0.25,57,0.475,0.0010504722595214844,0.475,12.02037787437439,OPTIMAL
Polynomial,0.25,58,0.55,0.0019011497497558594,0.725,15.35618782043457,FEASIBLE
Polynomial,0.25,59,0.55,0.0011534690856933594,0.55,15.334731817245483,FEASIBLE
Polynomial,0.25,60,0.525,0.0011789798736572266,0.525,15.337345838546753,FEASIBLE
Polynomial,0.25,61,0.525,0.001706838607788086,0.6,15.356703758239746,FEASIBLE
Polynomial,0.25,62,0.55,0.0016405582427978516,0.65,15.40420651435852,FEASIBLE
Polynomial,0.25,63,0.55,0.0020470619201660156,0.525,12.917502164840698,OPTIMAL
Polynomial,0.25,64,0.475,0.002336740493774414,0.6,15.326160907745361,FEASIBLE
Polynomial,0.25,65,0.525,0.0006971359252929688,0.525,15.345231771469116,FEASIBLE
Polynomial,0.25,66,0.425,0.0020873546600341797,0.575,15.365124225616455,FEASIBLE
Polynomial,0.25,67,0.475,0.0011022090911865234,0.55,15.267733335494995,FEASIBLE
Polynomial,0.25,68,0.525,0.0015742778778076172,0.475,15.35642123222351,FEASIBLE
Polynomial,0.25,69,0.65,0.0033440589904785156,0.575,15.361237287521362,FEASIBLE
Polynomial,0.25,70,0.6,0.0016148090362548828,0.65,15.32860803604126,FEASIBLE
Polynomial,0.25,71,0.525,0.001504659652709961,0.675,15.266035556793213,FEASIBLE
