Dataset,Noise,Seed,CART_acc,CART_viol,CART_time,EMDT_acc,EMDT_viol,EMDT_time,EMDT_status
Polynomial,0.25,62,0.55,65,0.00047087669372558594,0.65,0,13.275930166244507,OPTIMAL
Polynomial,0.25,63,0.55,10,0.0006732940673828125,0.525,0,7.276634931564331,OPTIMAL
Polynomial,0.25,64,0.475,0,0.0005662441253662109,0.6,0,15.1742684841156,FEASIBLE
Polynomial,0.25,65,0.525,16,0.0004754066467285156,0.525,0,15.104565382003784,FEASIBLE
Polynomial,0.25,66,0.425,3,0.0005810260772705078,0.575,0,15.192212581634521,FEASIBLE
Polynomial,0.25,67,0.475,49,0.00047278404235839844,0.55,0,15.103668689727783,FEASIBLE
Polynomial,0.25,68,0.525,1,0.0013957023620605469,0.475,0,15.14514946937561,FEASIBLE
Polynomial,0.25,69,0.65,14,0.0006885528564453125,0.575,0,15.15364384651184,FEASIBLE
Polynomial,0.25,70,0.6,26,0.0006706714630126953,0.65,0,13.305593967437744,OPTIMAL
Polynomial,0.25,71,0.525,0,0.0010380744934082031,0.675,0,15.380037069320679,FEASIBLE
